Seniority Level,Position,Is Job Related to Innovation,Department,Industry,Employee,Country,Tenure
,,,,,,,
,,,,,,,
Middle Management,,I support innovation projects,,Other,From 10 to 49,United States of America,Less than 1 year
Junior Management,Gestor de proyecto,I lead innovation projects,Quality or Process Excellence,,,,More than 5 years
,,,,,,,
,,,,,,,
,,,"Procurement, Supply Chain & Logistics",,,,1 to 3 years
,,,,,,,
Senior Management,"Founder, Chief Executive Officer and Research Scientist",I lead innovation projects,Research & Development (R&D),Agriculture,From 1 to 9,South Africa,1 to 3 years
,Research Coordinator/Data Analyst,I support innovation projects,Corporate or Executive Management,,,,
Junior Management,,I support innovation projects,Information Technology (IT),Professional Services,From 10 to 49,Guatemala,More than 5 years
Junior Management,,I lead innovation projects,Production,,,Algeria,1 to 3 years
Junior Management,,I support innovation projects,,,,,1 to 3 years
Senior Management,VP,,Facilities & Real Estate,,,,Less than 1 year
,,,,,,,
,,,,,,,
Middle Management,Consultant,I lead innovation projects,Project or Program Management,Professional Services,From 10 to 49,United States of America,3 to 5 years
,Director,I lead innovation projects,Research & Development (R&D),,,,More than 5 years
Middle Management,VP Strategy,,Corporate or Executive Management,,,,More than 5 years
Senior Management,Strategy,,Research & Development (R&D),,,,1 to 3 years
Middle Management,"VP, Products & Platforms",,Corporate or Executive Management,,,,1 to 3 years
,"Director, Innovation & Partnerships",,,,,,1 to 3 years
,,,,,,,
Junior Management,"AVP, Digital Strategy",,,,,,3 to 5 years
,,,,,,,
,,,,,,,
,,,,,,,
Senior Management,,I lead innovation projects,Audit & Risk Management,,,,3 to 5 years
Middle Management,Director Consolidación y Escalamiento Empresarial,I support innovation projects,Quality or Process Excellence,,,,More than 5 years
,,,,,,,
,,,,,,,
Middle Management,,I lead innovation projects,Product Development,Finance & Insurance,250,Canada,More than 5 years
Senior Management,,I lead an innovation department,,,250,Canada,More than 5 years
Senior Management,Leader Developer,I support innovation projects,Information Technology (IT),Education,From 10 to 49,United States of America,Less than 1 year
,,,,,,,
Senior Management,,I lead innovation projects,Corporate or Executive Management,Professional Services,From 1 to 9,Nigeria,More than 5 years
Middle Management,application engineer & procurement manager,I support innovation projects,Project or Program Management,,,,More than 5 years
,,,,,,United States of America,Less than 1 year
,,,,,,Canada,1 to 3 years
,,,,,,Canada,Less than 1 year
,,,,,,Canada,Less than 1 year
Senior Management,,I lead innovation projects,Strategy,Professional Services,From 10 to 49,United States of America,More than 5 years
Senior Management,,I lead innovation projects,Corporate or Executive Management,Professional Services,From 1 to 9,Netherlands,More than 5 years
,,,,,,,
Senior Management,,I lead an innovation department,Corporate or Executive Management,Professional Services,From 1 to 9,Ghana,1 to 3 years
Senior Management,Director,I lead an innovation department,Corporate or Executive Management,Professional Services,From 10 to 49,United States of America,More than 5 years
,,,,Automotive,,,
Senior Management,"VP, Innovation and Integration",I lead innovation projects,Project or Program Management,Pharma,250,United States of America,More than 5 years
Middle Management,Desarrollar nuevos productos e innovar en los procesos,I lead innovation projects,Customer Service,Consumer Goods,,Colombia,1 to 3 years
Junior Management,"Gestión compras, Asistente Administrativo",I support innovation projects,Human Resources (HR),Energy,,Colombia,1 to 3 years
,,,,Professional Services,,,
