Country,count
Colombia,1130
(en blanco),193
United States of America,103
Oman,84
Australia,30
Brazil,22
Philippines,21
Norway,21
United Arab Emirates,15
El Salvador,15
Mexico,12
South Africa,11
Canada,11
China,10
Albania,10
Peru,7
India,5
Indonesia,4
Malaysia,3
Morocco,3
Guatemala,3
Nigeria,3
Barbados,2
Jordan,2
Japan,2
Jamaica,2
Ecuador,2
Mauritius,2
Costa Rica,2
Netherlands,2
Ghana,2
United Kingdom,2
Afghanistan,2
Saudi Arabia,2
Spain,1
Sweden,1
Greece,1
Cyprus,1
Argentina,1
Botswana,1
Singapore,1
France,1
Dominican Republic,1
Nicaragua,1
Algeria,1
Germany,1
Italy,1
Palestine State,1
Israel,1
