Department,count
(en blanco),800
Facilities & Real Estate,240
Strategy,84
Audit & Risk Management,72
Project or Program Management,71
Quality or Process Excellence,65
Corporate or Executive Management,58
Sales,53
Information Technology (IT),51
Product Management,50
Research & Development (R&D),48
Compliance & Legal,38
Production,29
Customer Service,28
Marketing & Communications,19
"Procurement, Supply Chain & Logistics",15
Finance & Administration,14
Human Resources (HR),12
Product Development,8
